RegionID,SizeRank,RegionName,STATE,RegionType,StateName,3/31/2018,Monthly Pmt,Total 2018,3/31/2019,Monthly Pmt,Total 2019,3/31/2020,Monthly Pmt,Total 2020,3/31/2021,Monthly Pmt,Total 2021,3/31/2022,Monthly Pmt,Total 2022,3/31/2023,Monthly Pmt,Total 2023,,,
395148,18,Tampa, FL,msa,FL,"340,210.19","1,731.89"," 623,480.50 ","357,420.77","1,694.04"," 609,854.82 ","374,843.96","1,600.65"," 576,232.26 ","421,948.50","1,769.86"," 637,150.38 ","537,741.34","2,999.47"," 1,079,810.67 ","567,920.19","3,675.97"," 1,323,350.11 ",,,
394530,19,Denver, CO,msa,CO,"610,809.86","3,109.42"," 1,119,390.45 ","644,156.21","3,053.06"," 1,099,101.67 ","672,316.04","2,870.90"," 1,033,523.91 ","741,735.40","3,111.21"," 1,120,034.76 ","858,804.27","4,790.33"," 1,724,520.60 ","838,714.97","5,428.74"," 1,954,347.75 ",,,
394358,20,Baltimore, MD,msa,MD,"456,286.50","2,322.79"," 836,205.81 ","465,025.55","2,204.05"," 793,457.17 ","475,206.87","2,029.21"," 730,516.05 ","519,521.37","2,179.13"," 784,487.29 ","572,495.89","3,193.33"," 1,149,599.49 ","587,203.59","3,800.79"," 1,368,283.69 ",,,
395121,21,St. Louis, MO,msa,MO,"291,084.24","1,481.81"," 533,450.65 ","299,374.51","1,418.92"," 510,812.47 ","309,762.96","1,322.74"," 476,185.91 ","341,413.55","1,432.06"," 515,541.05 ","380,201.42","2,120.73"," 763,462.88 ","392,578.85","2,541.04"," 914,775.13 ",,,
394943,22,Orlando, FL,msa,FL,"352,076.34","1,792.30"," 645,226.80 ","371,849.81","1,762.43"," 634,474.59 ","387,393.69","1,654.23"," 595,524.45 ","423,480.11","1,776.29"," 639,463.14 ","522,862.24","2,916.48"," 1,049,932.72 ","553,128.69","3,580.23"," 1,288,883.41 ",,,
394458,23,Charlotte, NC,msa,NC,"363,330.04","1,849.59"," 665,850.71 ","375,714.52","1,780.75"," 641,068.81 ","390,450.11","1,667.29"," 600,222.96 ","443,006.65","1,858.19"," 668,948.59 ","545,515.67","3,042.84"," 1,095,421.90 ","568,279.46","3,678.30"," 1,324,187.27 ",,,
395055,24,San Antonio, TX,msa,TX,"319,771.98","1,627.85"," 586,024.76 ","328,931.14","1,559.01"," 561,243.94 ","341,473.74","1,458.15"," 524,933.59 ","375,865.26","1,576.57"," 567,563.79 ","451,358.09","2,517.64"," 906,348.92 ","467,702.19","3,027.29"," 1,089,825.22 ",,,
394998,25,Portland, OR,msa,OR,"581,581.03","2,960.62"," 1,065,824.73 ","593,508.86","2,813.01"," 1,012,683.84 ","610,036.55","2,604.96"," 937,784.20 ","675,822.91","2,834.74"," 1,020,505.63 ","772,144.63","4,306.96"," 1,550,503.84 ","759,708.19","4,917.36"," 1,770,248.59 ",,,
395045,26,Sacramento, CA,msa,CA,"596,184.48","3,034.97"," 1,092,587.50 ","620,125.10","2,939.16"," 1,058,098.21 ","638,123.93","2,724.89"," 980,961.78 ","718,843.56","3,015.19"," 1,085,467.64 ","832,799.95","4,645.29"," 1,672,302.66 ","788,022.87","5,100.63"," 1,836,226.59 ",,,
394982,27,Pittsburgh, PA,msa,PA,"267,446.17","1,361.47"," 490,130.74 ","276,845.80","1,312.15"," 472,372.50 ","289,456.56","1,236.03"," 444,969.71 ","316,531.99","1,327.69"," 477,969.41 ","345,131.16","1,925.11"," 693,040.10 ","349,544.85","2,262.50"," 814,498.63 ",,,
